molecule_ID,cleaned_smiles
33,C#CCn1cnc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O[C@@H]3[C@@H](COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]5[C@@H](COP(=O)(O)O[C@@H]6[C@@H](COP(=O)(O)O[C@@H]7[C@@H](COP(=O)(O)O[C@@H]8[C@@H](COP(=O)(O)O[C@@H]9[C@@H](COP(=O)(O)O[C@@H]%10[C@@H](COP(=O)(O)O[C@@H]%11[C@@H](COP(=O)(O)O[C@@H]%12[C@@H](COP(=O)(O)O[C@@H]%13[C@@H](COP(=O)(O)O[C@@H]%14[C@@H](COP(=O)(O)O[C@@H]%15[C@@H](COP(=O)(O)O[C@@H]%16[C@@H](COP(=O)(O)O[C@@H]%17[C@@H](COP(=O)(O)O[C@@H]%18[C@@H](COP(=O)(O)O[C@@H]%19[C@@H](COP(=O)(O)O[C@@H]%20[C@@H](COP(=O)(O)O[C@@H]%21[C@@H](COP(=O)(O)O[C@@H]%22[C@@H](COP(=O)(O)O[C@@H]%23[C@@H](COP(=O)(O)O[C@@H]%24[C@@H](COP(=O)(O)O[C@@H]%25[C@@H](COP(=O)(O)O[C@@H]%26[C@@H](COP(=O)(O)O[C@@H]%27[C@@H](COP(=O)(O)O[C@@H]%28[C@@H](COP(=O)(O)O[C@@H]%29[C@@H](COP(=O)(O)O[C@@H]%30[C@@H](COP(=O)(O)O[C@@H]%31[C@@H](COP(=O)(O)O[C@@H]%32[C@@H](COP(=O)(O)O[C@@H]%33[C@@H](COP(=O)(O)O[C@@H]%34[C@@H](COC)O[C@@H](n%35cnc%36c(=O)n(CC#C)cnc%36%35)[C@@H]%34O)O[C@@H](n%34cnc%35c(=O)n(CC#C)cnc%35%34)[C@@H]%33O)O[C@@H](n%33cnc%34c(=O)n(CC#C)cnc%34%33)[C@@H]%32O)O[C@@H](n%32cnc%33c(=O)n(CC#C)cnc%33%32)[C@@H]%31O)O[C@@H](n%31cnc%32c(=O)n(CC#C)cnc%32%31)[C@@H]%30O)O[C@@H](n%30cnc%31c(=O)n(CC#C)cnc%31%30)[C@@H]%29O)O[C@@H](n%29cnc%30c(=O)n(CC#C)cnc%30%29)[C@@H]%28O)O[C@@H](n%28cnc%29c(=O)n(CC#C)cnc%29%28)[C@@H]%27O)O[C@@H](n%27cnc%28c(=O)n(CC#C)cnc%28%27)[C@@H]%26O)O[C@@H](n%26cnc%27c(=O)n(CC#C)cnc%27%26)[C@@H]%25O)O[C@@H](n%25cnc%26c(=O)n(CC#C)cnc%26%25)[C@@H]%24O)O[C@@H](n%24cnc%25c(=O)n(CC#C)cnc%25%24)[C@@H]%23O)O[C@@H](n%23cnc%24c(=O)n(CC#C)cnc%24%23)[C@@H]%22O)O[C@@H](n%22cnc%23c(=O)n(CC#C)cnc%23%22)[C@@H]%21O)O[C@@H](n%21cnc%22c(=O)n(CC#C)cnc%22%21)[C@@H]%20O)O[C@@H](n%20cnc%21c(=O)n(CC#C)cnc%21%20)[C@@H]%19O)O[C@@H](n%19cnc%20c(=O)n(CC#C)cnc%20%19)[C@@H]%18O)O[C@@H](n%18cnc%19c(=O)n(CC#C)cnc%19%18)[C@@H]%17O)O[C@@H](n%17cnc%18c(=O)n(CC#C)cnc%18%17)[C@@H]%16O)O[C@@H](n%16cnc%17c(=O)n(CC#C)cnc%17%16)[C@@H]%15O)O[C@@H](n%15cnc%16c(=O)n(CC#C)cnc%16%15)[C@@H]%14O)O[C@@H](n%14cnc%15c(=O)n(CC#C)cnc%15%14)[C@@H]%13O)O[C@@H](n%13cnc%14c(=O)n(CC#C)cnc%14%13)[C@@H]%12O)O[C@@H](n%12cnc%13c(=O)n(CC#C)cnc%13%12)[C@@H]%11O)O[C@@H](n%11cnc%12c(=O)n(CC#C)cnc%12%11)[C@@H]%10O)O[C@@H](n%10cnc%11c(=O)n(CC#C)cnc%11%10)[C@@H]9O)O[C@@H](n9cnc%10c(=O)n(CC#C)cnc%109)[C@@H]8O)O[C@@H](n8cnc9c(=O)n(CC#C)cnc98)[C@@H]7O)O[C@@H](n7cnc8c(=O)n(CC#C)cnc87)[C@@H]6O)O[C@@H](n6cnc7c(=O)n(CC#C)cnc76)[C@@H]5O)O[C@@H](n5cnc6c(=O)n(CC#C)cnc65)[C@@H]4O)O[C@@H](n4cnc5c(=O)n(CC#C)cnc54)[C@@H]3O)[C@@H](OP(C)(=O)O)[C@H]2O)c1=O
34,C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1
35,C#C[C@@]1(F)[C@H](O)[C@@H](COP(=O)(NCC(=O)OCC)NCC(=O)OCC)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21
36,C#C[C@@]1(F)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21
37,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2cc(Cl)c3c(Cl)ccnc32)[C@@H]1O
38,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O
39,C#C[C@@]1(O)[C@@H]2O[P@](=O)(OCCCCC(=O)OC3CCCC3)OC[C@H]2O[C@H]1n1ccc(=O)[nH]c1=O
40,C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21
41,C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21
42,C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
